,final_text,Group
4056,password reset via password_management_tool password manager password reset via password_management_tool password manager,0
5368,license activated office upgraded license activated office upgraded,0
4602,setup new rechner alte wrought setup new rechner alte wrought,24
2449,termination user lisfgta geitrhybler termination user lisfgta geitrhybler ndigung liuytre gei ler effective approved click link view,2
3320,job job failed job_scheduler monitoring_tool ftp error put job job failed job_scheduler,8
2163,problem skype outlook user dardabthyr problem skype outlook user dardabthyr,24
5117,german call caller disconnected after hearing english german call caller disconnected after hearing english,0
738,printer working resolve printer problem printer fine after printer technician check cable server port server room admin knowledge capability handle someone aerp,19
2505,expense report issue getting alert expense report screenshot attached expense report issue change cost center user,10
4983,hostname oracle finance_app financial management web tier java server epmsystem service monitor hostname oracle finance_app financial management web tier epmsystem service monitor hostname oracle finance_app financial management java server epmsystem service monitor,12
846,power outage company mex juarez dmvpn rtr located juarez hard since type outage network _circuit power specify type outage top cert site when start scheduled maintenance power company power provider power scheduled maintenance network _no company maintain provider maintain ticket site backup circuit _no backup circuit active site contact notified phone email remote dial equipment reset verified site working backup circuit vendor ticket global_telecom verizon telecom vendor telecom vendor notified gsc cert started additional diagnostics,8
6361,reporting_tool application sending multiple email via smtp ramdnty discussed email also called subscription reporting_tool application daily basis smtp server remained last year since july user receiving duplicate email example see attached duplicate email receiving daily one thing note reporting_tool maintains count email day count doubled indicating smtp server seems processing twice instead reporting_tool sending multiple time smtp server issue escalate higher management greatly appreciate could look earliest let know need detail,26
579,information previous ticket name language browser microsoft internet explorer email customer number telephone summary opened ticket morning assigned,0
4860,inbox always show several email read already,0
3609,error order purchasing catalog good morgen hotline discussed die error message die shop purchasing catalog appears cid hard copy cid contact,29
4000,simfghon want use mail owa configured explained outlook also already installed,0
1191,blank call gso loud noise blank call gso loud noise,0
1036,ticket comment added dwight update,0
1918,problem printer copier training room also malfunction minolta sorry time check,24
5320,owa installation mobile device using personal android mobile phone would like use owa outlook access denied rejected one,0
1076,account unlock welcome next available agent interaction alerting agent website visitor joined conversation rakthyesh rakthyesh davidthd,0
5804,unable open outlook due bad password unable open outlook due bad password,0
444,password reset uacyltoe hxgayczemii name language browser microsoft internet explorer email customer number telephone summary reset password aolhgbps pbxqtcek uacyltoe hxgayczemii,0
2745,job job failed job_scheduler monitoring_tool job job failed job_scheduler unable release guest error failed unfreeze guest system network mode rpc function call failed function name unfreeze target machine rpc error remote procedure call failed code,8
4689,vpn access usa access vpn user xfuqovkd efsdciut seefgrtybum atydjkwl sotmfcga vvrtgwildj,34
5262,crm problem good day problem crm system open prompt password seemor current month outlook appear screen kind,0
2182,issue engineering tool sir trying upload engineering_tool system after loading detail price drill detail engineering_tool saved screen shot show detail filled trying upload engineering_tool server faced error screen shot attached look resolve immediately detail filled pricing uacyltoe hxgaycze site cid sid screen shot error cid sid,25
3283,install pdf mailer install pdf mailer,24
4812,unable check email sync account setting outdated unable remove add repair email account window phone trying repair account showing repair possible even letting user remove add account unable check email sync account setting outdated,33
716,folder access required team usa read write access following two folder webr gers hostname department personal file hostname department personal hostname department personal file hostname department personal,34
4796,connecting vpn connecting vpn,0
2025,password reset erp sid reset following password erp sid us_plant employee knemilvx dvqtziya nabjwvtd sprhouiv,0
3772,confidential project update outlook issue displaying image meeting invite project image png company reason image invitation show see think issue end outlook setup something sender side,0
196,unable print printer welcome next available agent interaction alerting agent website visitor joined conversation,0
1549,reset password erp sid gso kindly reset password zhhtyangq erp sid,0
769,engineering_tool able update new customer engineering_tool able update new customer,0
1231,telephony software phone benelux team bad phone connection incoming call lot crackling interruption,7
4407,operator forgot log password user zemboks welcome next available agent interaction alerting agent website visitor joined conversation rakthyesh ramdntythanjesh robhyertyj,0
119,reset password erp erp reset password sid blocked log jdhdw,0
5676,circuit outage carrier india telecom vendor circuit since site primary tikona circuit type outage network _circuit power specify type outage top cert site _no when start scheduled maintenance power _no company power provider power scheduled maintenance network _no company maintain provider maintain ticket site backup circuit backup circuit active site contact notified phone email remote dial _na equipment reset _na verified site working backup circuit vendor ticket global_telecom verizon telecom vendor telecom vendor notified gsc cert started additional diagnostics,8
1961,account expire soon extend vvwhtyuy account one user vvwhtyuy manager name mikdhyu lihy account expire soon extend vvwhtyuy account one user vvwhtyuy manager name mikdhyu lihy,2
6553,erp account unlock name language browser microsoft internet explorer email customer number telephone summary unlock erp account user name boivin,0
1127,bobj difficulty obtaining data bobj must morning issue reported could someone call,9
18,unable sign vpn unable sign vpn,0
2821,laptop start docked blue power light light briefly laptop start docked blue power light light briefly,3
342,vpn meter amount data transferred vpn meter amount data transferred,0
1145,confidential document shared hub everyone access confidential document shared hub everyone access link mikhghytr issue iphone begin forwarded message date october edt itclukpe aimcfeko yjscozva lyjoeacv subject confidential information hub brought attention morning search usa job hub information result field thought might want know open,16
5916,when customer service enters order account get error sale office valid flat rate company account sale office fmw shipping condition updated ground default carrier good bob lewicki requested entered ticket comment believe logic restricting sale office added infrastructure would try use flat rate usa definitely copied prishry rabhtui input meantime enter ticket get corrected believe able adjusted table,13
3747,hostname space consumed space available hostname volume label dat hostname server hostname space consumed space available,12
334,access retired employee collaboration_platform myhrt sthry retired plant manager usa replaced request access collaboration_platform copy relevant document before deleted mail saturday october subject myhrt sthry collaboration_platform business content preserved day danie follow see file may need utejhdyd vice president general manager reply mailto reply saturday october subject myhrt sthry collaboration_platform business content preserved day myhrt sthry account deleted active directory collaboration_platform business preserved day temporary owner document saved collaboration_platform business would like save content beyond day retention period copy important document another location also contact administrator reassign ownership another collaboration_platform business owner after day myhrt sthry collaboration_platform business permanently deleted myhrt sthry collaboration_platform business,16
3341,user wanted speak one usa asked jashyht contact user wanted speak one usa asked jashyht contact,0
1205,unable log collaboration_platform email address password unable log collaboration_platform email address password,0
5150,ben tige network cable den tele service roboworker herr bghakch ben tige network cable den tele service roboworker ben tigt become die permanent angeschlossen stay,24
176,adding member adding member,0
2343,password issue indra kurtyar able log due password issue kindly provide new password person name indra kurtyar user vvrajai email indrakurtyar rajanna,0
360,reset password erp production erp after setting new overall password access erp many,0
5336,issue computer shop floor boot power button orange flashing light thing tell computer user name cobrgtool,3
6009,transfer information old new laptop transfer information old new laptop,3
3068,switch configure printer switch configure printer,24
3675,need interaction password reset need interaction password reset phone,7
3593,machine kentip area longer started machine kentip area longer started,33
6460,cannot access network drive cannot access network drive,0
5226,user question use password_management_tool password manager user question use password_management_tool password manager,0
1220,msd crm popup when try lunch outlook outlook freezing msd crm popup when try lunch outlook outlook freezing,0
1348,reset password reset password impact award security question name first school attended cannot answered correctly thank,0
1668,pulverleitstand chargenverwaltung work correct pulverleitstand chargenverwaltung work correctly either run slow crash error message time eu_tool also run slow,25
4296,engineering_tool advance search material group select come result picked titanium tial material come result along titanium material also kcu grade grade field search drilling,25
497,material type create reqquirement zlz agreement order friendly,13
4734,rappel vous avez new message spam spam account ingdirect would one related company email since salutation,0
1503,qlhmawgi sgwipoxn unlock password reset ipglathybel ipglathybel qlhmawgi sgwipoxn password reset erp,2
5307,hostname chkdsk still running after monthly reboot after monthly reboot hostname chkdsk running around currently chkdsk verifying file stage percent complete,12
5878,abend job job_scheduler snp_heu regen monitoring_tool abend job job_scheduler snp_heu regen,6
147,recover folder mistake copied drive want recover folder,0
5986,skype show online noticed email message skype business even when line uacyltoe hxgaycze turned smartphone colleague show inactive away people message,26
2955,leantracker registration work lean tracker open error message appears,0
5766,request reset microsoft online service password microsoft behalf company mailto msonlineservicesteam tuesday august nwfodmhc exurcwkm tiyhum kuyiomar subject ragsbdhryu request reset microsoft online service password importance high request reset user password following user organization requested password reset performed account first name jagthyin bhughjdra last name babanlal consider contacting user validate request authentic before continuing determined valid request use service admin portal office window intune window azure etc reset password user want let user reset password check enable password reset user organization click sincerely company message unmonitored email address reply message,0
5260,system disk server hostname full system disk server hostname full check virtual center server,12
524,outlook outlook working see fix thsadyu dwwlhews sale manager mailto,0
486,network outage south amerirtca rrc network company south amerirtca dmvpn router since backup circuit type outage network _circuit power specify type outage top cert site _no when start scheduled maintenance power _no company power provider power scheduled maintenance network _no company maintain provider maintain ticket site backup circuit _no backup circuit active site contact notified phone email remote dial _na equipment reset _na verified site working backup circuit _na vendor ticket global_telecom verizon telecom vendor telecom vendor notified gsc cert started additional diagnostics,8
825,access sid due travel_tool uacyltoe hxgayczeing allow access,0
3198,employee schrenfgker heinrifgtch need access powder control station read enter employee schrenfgker heinrifgtch need access powder control station read enter,25
5518,hostname total cpu error threshold hostname average sample total cpu error threshold,12
916,ghost call interaction ghost call interaction,0
4821,close line item order close line item order number already delivered remains open,13
4029,laptop service tag working keypad issue dell laptop system number aiul when plug laptop keypad whole system shutting screen docked keybankrd unable start computer when tried charging screen docked currently using touch pad screen charging screen keypad totally unresponsive user name rajy,19
5477,urgent reset window password good day already issued ticket address aerp reset window password rhgteini,0
3523,erp access issue system sid sid sid sid hrp sid sid enter user user issue mathyida transaction code user need working unable logon locked describe issue unlock account reset password system,2
5845,change request cannot deleted change request cannot deleted,0
5098,user called update user called update,0
179,problem blue screen happened hung presented blue screen white letter,24
5564,unable clear warehouse tool vfx support unable clear warehouse tool vfx need high value warehouse tool cannot clear,10
1612,unable view mail day unable view mail day,0
5130,collaboration_platform cloud order gel look good tag important complete data sind gel look self der cloud der order team complete gel look sorry den order restore datum yesterday important friendly sale engineer mail mailto company deutschland gmbh cut ftsf hrer rfwlsoej yvtjzkaw message allein die use den address certainly information contain die schutzw rdig confidential oder applicable recht der disclosure except sind die distribution distribution oder multiply approval message people around die intended recommended longer act strict verboten message due one see dann notify sorry den sender rule message company,0
2744,picture collaboration_platform outlook skype user faerfrtbj profile show different picture collaboration_platform outlook skype see attached screenshot correct one one shown attachment,16
1517,zebra printer issue label printer working error connection erp could made printer name prtoplant multiple location affected usa germany also issue,0
4258,setup rechnerf info booth repair setup rechnerf info booth repair,24
821,user need log erp sid user need log erp sid connected user system using team viewer user login erp sid issue resolved,0
3719,problem open wsb_exe we_wu problem open wsb_exe we_wu,24
3824,mail company quarantine database mail company quarantine database,26
542,network outage south_amerirtca ktthasb site hard dwon since type outage network _circuit power specify type outage top cert site _no when start scheduled maintenance power company power provider power scheduled maintenance network company maintain provider maintain ticket site backup circuit backup circuit active site contact notified phone email remote dial equipment reset verified site working backup circuit vendor ticket global_telecom verizon telecom vendor telecom vendor notified gsc cert started additional diagnostics,8
43,log hr_tool etime single sign portal log hr_tool etime single sign portal,0
884,exchange phone log phone server changed phone old iphone new want connect get mail exchange outlook iphone iphone phone number imei,0
1324,basis call shift dac gso basis call detail modified modified placed location collaboration_platform update record accordingly,0
15,unable log company vpn xyz unable log company vpn website trying open new session using link able get urgently working home tomorrow due month end closing,0
63,dell laptop speaker working requires urgent laptop speaker working requires urgent,0
678,erp sid password reset request erp sid password reset request,0
2319,engineering tool client unable launch stopped responding error multiple program shortcut exist desktop engineering_tool none work password expired well aiqjxhuv dceghpwn runtime software missing,0
1369,job bwhrertran failed job_scheduler monitoring_tool job bwhrertran failed job_scheduler,9
2550,crm good morning need assigning account crm account assigned another account since reassigned unable reassign account since primary sale,0
2711,office reinstall office reinstall,0
3186,vip access company guest september october usa following consultant attendance_tool access company guest week september october mailto roshyario mcfaullfhry ssofgrtymerset mailto ssofgrtymerset sarhfa ssofgrtymerset mailto josefghph hughdthes mailto jofgyst language confirm when done many,0
581,reset password erp production hcm new erp training would call walk log least verify log name password,0
1700,adding user dinthyesh achthyardk distribution group ethyxekirty etyhumpdil adding user dinthyesh achthyardk distribution group exekirty empkirty,0
110,prtgghj password reset reset hr_tool password reset,0
5270,erp network access limitation various user linked network cannot log erp get onto local network drive access file however linked network use internet explorer like user andthyerh cvdebrc vvmathkag username vanthyrdys access every system without issue,0
3235,forward die sync exchange activesync ger front pas block der access admin sorry around die activation new handy friendly,0
1528,pickup alte equipment cad monitor pickup alte equipment cad monitor,24
2784,upgrade upgraded uacyltoe hxgaycze workstation,19
1195,outlook issue outlook issue,0
4057,unable post document sid unable post document sid using spreadsheet,10
1681,unable install crm outlook unable install crm outlook,0
4904,created new material number when try build bom put bom say material exist,29
5933,replace internal speaker due crackling issue replace internal speaker due crackling issue,3
5614,mail unable quotation customer sale team unable quotation customer sale mail check resolve immediately example mailto warm,13
5581,abend job job_scheduler sid arc monitoring_tool abend job job_scheduler sid arc,8
5448,unlock account email cell phone user nasftgcijj rspqvzgu vroanwhu silvgtyar team could unlock account email cell phone user nasftgcijj rspqvzgu vroanwhu silvgtyar,0
3685,correct tax rate warehouse tool after implementation update tax rate system come across instance wherein system capturing different tax rate local sale within karnataka one recommended connection attaching herewith mail communication team request look aspect resulting non compliance,10
5664,reset erp sid password user soemec reset erp sid password user soemec,0
6351,problem eu_tool altogether problem eu_tool open allocation list plant hard machining edge rounding collecting see window past when double click eps could see new window point measurement insert function service friendly,0
55,unlock logon password unlock company net log password urgent,0
315,reset user password reset user password,0
2541,assign plm cannot print work order due plsseald connection connection system production_order_interface_app destination production_order_interface_vendor connection okay,0
1014,getting error when trying access precall planning report cmor see attached access pre call planning section account record get error one get reporting_engineering_tool crm dashbankrd fixed once when opened crm issue happened,0
5095,collaboration_platform log issue log issue verified user detail employee manager name checked user name reset password advised user log check caller confirmed able log issue resolved,0
5558,update erp favorite update erp favorite,0
5026,ten gigibit ethernet connection tech top msfc ten gigibit ethernet connection tech top msfc,4
2797,erp pur wrong subcontracting demand material show piece demand plant parent refers subcontracting closed already component shipped vendor movement booked movement together movement good receipt show erp still demand piece wrong demand cleaned,29
4969,folder access hostname team kvp project permission write read location germany,34
4903,blank call noise blank call noise,0
3302,application response time network resource work normally colleague opened ticket issue spain sale org portugal sale org ticket,0
5478,password cannot changed could fix cid,0
2986,cannot access discount tool when trying enter discount get following message error occured contact pricing new laptop think configured yet,0
6165,security incident dsw suspicious rpc netbios activity hostname source system name hostname santiago south amerirtca backup exec server user name uidgt olibercsu olvidley location santiago south amerirtca sep status see field sale user dsw event log see content version fmxcnwpu tcwrdqboinition version sequence host integrity content available reputation setting portal list intrusion prevention signature power eraser definition revocation content eraser engine sonar content extended file attribute signature symantec permitted application list incident overview detected least occurrence firewall dropping traffic sourcing hostname destined port one destination device activity may indicate one following infection host configured firewall configured host port scan authorized unauthorized escalating incident via high priority ticket phone call default event handling procedure would like handle incident differently future see handling option question concern let know either corresponding via ticket delegating ticket back soc calling ticket escalation alert traffic blocked explicit notification via medium priority ticket phone call automatically resolve alert traffic blocked portal explicit notification event available reporting purpose portal sincerely dell secureworks soc technical detail historically various worm malware used port propagate example include msblast lovsan nachi port microsoft epmap end point mapper also known dce rpc locator service port netbios netbios name service port netbios netbios datagram service port netbios netbios session service port microsoft smb file sharing additional information port practice found following site reference event data related event event event summary internal outbreak tcp log time source source hostname hostname destination hostname device device name event extra data inspector rule sherlock rule ontologyid src hostname hostname eventtypeid instance foreseeglobalmodelassessmt unknown irreceivedtime foreseemalprobglobalmodel inspector event event type priority proto tcp port action blocked ileatdatacenter true foreseemaliciouscomment global model version null empty model found foreseeinternalip login timestamp agent foreseeconndirection internal srcassetofinterest src port occurrence count event count event detail jul asa inbound tcp connection denied flag syn interface inside jul asa deny tcp src inside dst outside access group acl inside xed jul asa deny tcp src inside dst outside access group acl inside xed jul asa deny tcp src inside dst outside access group acl inside xed jul asa inbound tcp connection denied flag syn interface inside jul asa deny tcp src inside dst outside access group acl inside xed jul sartlgeo asa deny tcp src inside dst outside access group acl inside xed jul asa deny tcp src inside dst outside access group acl inside xed jul asa inbound tcp connection denied flag syn interface inside jul asa deny tcp src inside dst outside access group acl inside xed jul sartlgeo asa deny tcp src inside dst outside access group acl inside xed jul asa inbound tcp connection denied flag syn interface inside jul asa deny tcp src inside dst outside access group acl inside xed jul asa deny tcp src inside dst outside access group acl inside xed jul asa deny tcp src inside dst outside access group acl inside xed jul asa deny tcp src inside dst outside access group acl inside xed event event summary internal outbreak tcp log time source source hostname hostname destination hostname device device name event extra data inspector rule sherlock rule ontologyid src hostname hostname eventtypeid instance foreseeglobalmodelassessmt unknown irreceivedtime foreseemalprobglobalmodel inspector event event type priority proto tcp port action blocked ileatdatacenter true foreseemaliciouscomment global model version null empty model found foreseeinternalip login timestamp agent foreseeconndirection internal srcassetofinterest src port occurrence count event count event detail jul asa deny tcp src inside dst outside access group acl inside xac jul asa deny tcp src inside dst outside access group acl inside xac jul asa deny tcp src inside dst outside access group acl inside xac jul asa deny tcp src inside dst outside access group acl inside xac jul asa inbound tcp connection denied flag syn interface inside jul asa inbound tcp connection denied flag syn interface inside jul asa deny tcp src inside dst outside access group acl inside xac jul asa deny tcp src inside dst outside access group acl inside xac jul asa inbound tcp connection denied flag syn interface inside jul sartlgeo asa deny tcp src inside dst outside access group acl inside xac jul asa deny tcp src inside dst outside access group acl inside xac jul asa deny tcp src inside dst outside access group acl inside xac jul sartlgeo asa deny tcp src inside dst outside access group acl inside xac jul asa deny tcp src inside dst outside access group acl inside xac jul asa deny tcp src inside dst outside access group acl inside xac jul asa inbound tcp connection denied flag syn interface inside,2
4046,issue logging skype after recently changing password name language browser microsoft internet explorer email customer number telephone summary issue logging skype after recently changing password,0
3312,erp slow user poland office erp slow user poland office user impacted,0
162,unable access benefit apps hr_tool one time unable access benefit apps hr_tool one time access denied,2
4154,balance carry forward report team run report found balance carry forward shown report report advise cid cid cid cid,10
5602,alm triggered shown inbox summary actually email alm triggered shown inbox,0
2946,folder access request hostname finance global bank bals group lhqfinglbalfy owner access full control,34
1791,connecting wireless outside company usa wireless attachment connection available when need wireless review figure wireless available company usa also hotel access available,0
6083,sharepoint discount request error infopath cannot submit form error occurred form submitted form cannot submitted following location site may offline read otherwise unavailable access denied before opening file location must first add web site trusted site list browse web site select option log automatically,0
813,change window password using password_management_tool password tool change window password using password_management_tool password tool connected user system using team viewer user log password_management_tool password tool change password user sync password company network caller confirmed able log issue resolved,0
3946,unable connect network drive vpn unable connect network drive vpn,0
4452,query qdapolnv jlcavxgi query qdapolnv jlcavxgi,0
2507,load telephone software onto user load telephone software onto user,7
2589,sid access team recently joined esg group program engineer request provide access sid log erp needful cid sid ecd,2
5827,call debgrtybie savgrtyuille cancel ticket call debgrtybie savgrtyuille cancel ticket,0
1759,unable log skype certificate error unable log skype certificate error,0
3764,vpn getting connected vpn getting connected assist earliest,0
937,password reset password_management_tool password reset password_management_tool,0
4867,unable print erp unable print erp,0
4381,mii working error user authentication failed mii working error user authentication failed erp working internet working whole plant able access system,14
2767,display external monitor connected docking station display external monitor connected docking station request kindly look video display issue computer get display external monitor when docked docking station tried docking station able get display external monitor issue three month intermittent earlier discussed ghkkytu aware issue worked together reinstalled video driver issue still persists leave computer security request assistance,19
629,network path running hostname issue reaching solar wind alert network path running hostname issue reaching attached screen shot,4
6413,vmax disk failed failed reporting_tool alert monitor disk failed localhost outside expected limit true true,8
1198,home folder share delegation dtheb mulling mullthyed marthhty vip usa user access dtheb mulling drive full access name email telephone summary may know dtheb mulling retiring company october usa access drive full access,2
2588,receiving error open order book nightly report receiving error open order book nightly report see attached screen shot,13
3713,error druing password change got message password change kindly cid,0
5769,telephone software software upgrade user laijuttr able find interaction desktop icon after installation even old version got deleted assist,0
5278,download construct erp layout display option name judge hammer since today cana choose layout anymore one layout could collect ita one created cid layout look like cid moment look like cid get layout judge hammer back,29
3928,ferbfhyunam able connect telephone software interaction desktop error message unable log following reason byte read network stream user ferbfhyunam workstation ekmw see attached picture,33
4955,access server possible message error when reconnecting hostname,12
4830,problem info booth ewew problem info booth ewew,24
2217,power outage query power outage query,0
3194,erp sid sid working erp sid sid working,0
1529,reset password good day assist resetting erp password user name krugew kind,0
4126,able add printer laptop able add printer laptop after installing driver system throw error add printer,19
2935,hostname usa plant ups hostname usa plant ups,8
366,rma workflow error status rma workflow error status advise reason error restart workflow,13
116,erp_print_tool install erp_print_tool install,0
5580,erp working error log balancing error cert opened work around,0
4130,erp sid error team processed erp record missed tracking number could find cause fix,18
2916,recall ticket due date updated edt would like recall message ticket due date updated edt,2
5259,unable open order confirmation erp find snap shot screen unable open url cid,13
2814,clad computer moving new location computer moving new location new setup need completed production interrupted note shrugott tyhuellis may may entered ticket move,3
5593,erp working erp outage erp working erp outage united kingdom,0
5904,termination termination effective approved click link view,2
6488,new employee access hr_tool benefit ethic drive welcome company business ethic conduct center ethic training site record indicate log credential used access site company collaboration_platform match record file within active directory submit ticket global support center ensure network log correctly entered erp,2
4100,install eu_tool zebra ewew install eu_tool zebra ewew,24
3545,unable communicate savin printer unable communicate savin printer,0
6540,inquiry employee shesyhur port inquiry employee shesyhur post,0
2862,sorry create list alle authorize bzw access cvltebaj yzmcfxah rostuhhwr sorry create list alle authorize bzw access cvltebaj yzmcfxah rostuhhwr,0
1843,seek support network related issue able access erp file network facing problem past week daily basis issue addressed local team getting resolved case case basis causing lot disturbance seek support resolve issue error message when tried log sid cid sid day when connect network connected company guest network need change company secure after also facing problem,19
6150,domain account unlock domain account unlock,0
3527,vpn eae vpn,31
6360,attendance_tool password rest reset attendance_tool password forgot username gurhyqsath india met mailto,0
4411,bad monitor lbdw bad monitor lbdw near rob ripple,3
3158,monitor working monitor working,3
3448,frequent account lockout account getting locked frequently worked gso many time still check end,2
944,erp logon assist changed password morning entered old password activate kind,0
3220,power outage south_amerirtca site hard since type outage network _circuit power specify type outage top cert site when start scheduled maintenance power company power provider power scheduled maintenance network company maintain provider maintain ticket site backup circuit backup circuit active _na site contact notified phone email remote dial equipment reset verified site working backup circuit vendor ticket global_telecom verizon telecom vendor telecom vendor notified gsc cert started additional diagnostics,8
133,user need training use engineering tool view drawing user need training use engineering tool view drawing connected user system using team viewer educated user log business_client view drawing issue resolved,0
362,problem portal problem portal,24
5594,erp broken see error message erp cid friendly,0
5109,create delivery note plant plant slc apo error urgent hurry create delivery note material shipped plant also advice apo work correct corrective action required franhtyu fyi reason caused error investigate kind,6
5570,password reset cyndy emailed requesting password reset jose emailed password,0
1698,installation skype installation skype,0
495,employee owned mobility agreement employee owned mobility agreement,0
6400,hostname bobj app web prod service hostname bobj app web prod service wrong number instance process expected found,14
3250,erp log unlock erp password working after changed senior technical service rep inside sale mailto inside sale,0
4095,frequent account lockout account keep locking after last password change,0
3018,shop_floor_app reporting status lcosm investigate observing alert monitoring_tool since shop_floor_app reporting status lcosm able ping server user caransb ping lcosm pinging byte data reply byte time ttl reply byte time ttl reply byte time ttl reply byte time ttl ping statistic packet lost loss approximate round trip time milli second minimum maximum average user caransb,12
2421,new laptop setup create configure user log profile outlook,19
5431,uacyltoe hxgaycze phishing email account information updated rakthyesh ramdntythanjesh friday august sunil gavasans subject account information updated sunil hope good note phishing uacyltoe hxgaycze email uacyltoe hxgaycze preparedness actual scenario congratuldhyation detecting highlighting issue,0
6098,increase ramdnty ramdnty hostname increase ramdnty ramdnty hostname server,12
5314,user mentioned internet get disconnected once try open ppt home location user mentioned internet get disconnected once try open ppt user power cycle modem user able connect inter connected user system using team viewer tried check network setting fine lost internet connection stay min user mentioned connection home intermittent conference call comcas isp disconnected call able provide support user user mentioned try connect local hotspot user mentioned check connection later,0
4202,email available outlook available owa team unable view email outlook june before see owa difficult analyze old email owa compared outlook could refreshing email outlook outlook version,0
848,reinstall win reinstall win,24
452,cana connect note book vpn cana connect notebook vpn page cannot shown,0
5295,password changed password today except change sid cid,2
2247,account lock issue since last two day account lock issue since last two day,0
2168,posting error urgently team kindly create ticket assign,10
1133,interface switch company eng germany emsw access since interface switch company eng germany emsw access since,8
3529,company guest wifi log user name create permanent company guest wifi log user name office need password user name when guest coming training meeting able log,4
4494,process billing accounting erp process billing accounting erp,10
5476,monitor rqxw monitor rqxw,3
193,power outage australia australia site hard since type outage network _circuit power specify type outage top cert site _no when start scheduled maintenance power company power provider power scheduled maintenance network company maintain provider maintain ticket site backup circuit backup circuit active _no site contact notified phone email remote dial _na equipment reset verified site working backup circuit vendor ticket global_telecom verizon telecom vendor telecom vendor global_telecom notified gsc _na cert started additional diagnostics,8
1509,archiving_tool client log file team archiving_tool archive open warehouse tool repair,0
5013,netweaver business client cannot started netweaver business client cannot started,0
3929,erp net weaver work error message microsoft net framework installed erp net weaver work error message microsoft net framework installed,0
2994,password reset microsoft behalf company mailto msonlineservicesteam tuesday september nwfodmhc exurcwkm tiyhum kuyiomar subject amar request reset microsoft online service password importance high request reset user password following user organization requested password reset performed account first name michbhuael last name laugdghjhlin consider contacting user validate request authentic before continuing determined valid request use service admin portal office window intune window azure etc reset password user want let user reset password check enable password reset user organization click sincerely company message unmonitored email address reply message,0
2815,clad computer cannot access erp shop_floor_app shared file work brgtyad ahdwqrson operator area work standstill also affect subsequent operation nearing end month product need move computer work need complete,3
5743,user locked note portal access specified detail locked employee name raghu employee user name manager issue user getting locked previously also facing issue user password changed worked month issue occurred employee getting error message user authentication failed seek support resolve issue,0
2469,printer dell cnw print alle page gray sliver print print alles greyed,33
6307,unlock account email cell phone user ricagthyr doflefne noggtyuerp team could unlock account email cell phone user noggtyuerp,0
481,user able logon crm website link user ottyhddok thielpwii lobodeid loksdkdjwda get touch,33
6435,erp sid bex password erp sid bex password,0
6147,cannot open engineering_tool when try open engineering_tool get delete engineering_tool computer reinstalled still get,0
1460,job pp_eu_tool_netch_keheu failed job_scheduler monitoring_tool job pp_eu_tool_netch_keheu failed job_scheduler,8
5300,log issue log issue verified user detail employee manager name checked user name reset advised user log check caller confirmed able log issue resolved,0
3624,could resolve item category error zfd ordering team facing item category issue zfd free charge order cannot select item category zkln could check resolve issue order detail sale org order type zfd qty delivery plant plant usage product lost intransit cannot select item category zkln without error hence erp cannot identify open order cannot see open order screen cid cid cid,13
2596,forgot password forgot password,0
6358,ticketing_tool query summary ticketing_tool change changed status closed cancelled instead closed complete revert change,0
1,outlook team meeting skype meeting etc appearing outlook calendar somebody advise correct kind,0
1270,folder missing sir pkj folder missing guest hostname prakaythsh kujigalore senior manager engineering mailto,0
185,blank call blank call,0
527,blank call loud noise blank call loud noise,0
5925,skype audio issue continue skype audio issue unable hear skype call tablet when call specifically when dial director call number hear every third word issue before tech fix issue need done continue issue sale manager west coast mailto,0
2061,erp running slow working fine erp running slow internet working fine transaction running slow contact erp system sid transaction checking dac team,14
4809,erp issue cannot create delivery also erp really slow hard even get order huge priority shipment suffer,14
1276,need resetting one team member hub window password need resetting one team member hub window password,0
317,inquiry erp sid bex analysis inquiry erp sid bex analysis,0
2239,engineering_tool error machining cloud stopped working engineering_tool error machining cloud stopped working,0
2687,multiple switch company usa usa since switch company usa usa shipping area access company usa usa furnace access located usa since,4
6477,server hostname responding attempting log tax_interface software apply update server hostname responding second time within two week issue server advise when issue corrected,14
1735,able access bobj via tab missing when open chrome user able access report via hence installed chrome access report via after user able open report via chrome well tab disappear user able connect vpn via chrome related business analytics tech team erp something related browser setting,0
3805,bahdqrcs xvgzdtqj onbankrding experience bahdqrcs xvgzdtqj intern hired full time effective aug followed process old manager transfer new manager oneteam new manager entered new job compensation information like instructed however honest onbankrding experience disaster far say every time call helpful resolve issue tell problem tell problem issue still access benefit information collaboration_tool when follows direction given get error message say need approval request submitted ethic access expense report access able enter expense report however when went submit got error message when try log get error message said problem access vpn said need update sid really sure incorrect paycheck receive paycheck told depending when information processed payroll might caught fact salary corrected paycheck share emailed yesterday made sound like everything going corrected paycheck follow email saying already ran going able backdate effective date change going want liuytre provide hour worked going work liuytre stopped tracking hour since salaried employee also company conference week technically worked way hour week part meeting dinner after hour team building activity someone shared service designated contact work issue everything figured something issue follow passed back forth beyond frustrated next friday figure benefit before eligibility time frame,0
2016,hr_tool time application morning time stamp selection time card cannot log clock hr_tool time application morning time stamp selection time card cannot log clock time morning cannot clock local stefyty dabhruji already looked appears something wrong account application phone email,0
3342,sto notion order sto notion order,29
